Case_id;Replayed;Model_Fitness_Initial;Alignment_Fitness_Initial;Model_Fitness_Final;Alignment_Fitness_Final;Time;|Alignment| Initial;|Alignment| Final;|Trace|;|Parikh_Trace|;|Model's Move|;Alignment
291|;1;0,633333333333333;0,301587301587302;0,633333333333333;0,301587301587302;0,33290696144104;42;41;30;30;30;[L/M]A|[L]AF|[L]AR|[L/M]C|[L/M]E|[L/M]G|[L/M]H|[L/M]I|[L/M]K|[L]AH|[L]AP|[L]AL|[M]L|[L/M]M|[L]AI|[L/M]J|[L/M]F|[L/M]AA|[L]AB|[L/M]AC|[L/M]AG|[M]AI|[L/M]AJ|[M]AE|[L]AQ|[M]AF|[L]L|[M]AH|[L/M]AD|[M]AB|[L/M]AK|[M]AM|[M]AP|[L]AE|[M]AQ|[L]AM|[M]AR|[L/M]AN|[M]AL|[L/M]D|[L/M]B|
294|;1;0,777777777777778;0,466666666666667;0,777777777777778;0,466666666666667;0,256842136383057;24;22;18;18;18;[L/M]A|[L]BZ|[M]C|[L/M]AS|[L/M]BP|[L]BS|[M]BQ|[L/M]BR|[L/M]BT|[L]BQ|[M]BS|[L/M]BV|[L/M]BW|[L/M]BX|[L/M]CB|[L]C|[M]BZ|[L/M]CA|[L/M]BY|[L/M]AT|[L/M]D|[L/M]B|
290|;1;0,571428571428571;0,25;0,571428571428571;0,25;0,248654127120972;20;20;14;14;14;[L/M]A|[L]BI|[L/M]C|[L/M]AS|[L]D|[M]BP|[L/M]BH|[L/M]BJ|[L]B|[M]BI|[L]AT|[M]BL|[L/M]BN|[L/M]BM|[L/M]AV|[M]AT|[L]BL|[M]D|[L]BP|[M]B|
295|;1;0,607407407407407;0,284722222222222;0,6;0,278350515463917;2,71116900444031;209;186;132;135;135;[L]CU|[M]A|[L/M]C|[L]CC|[M]t2t80|[L]DH|[M]CC|[L/M]CD|[L]FK|[L]CI|[L]DL|[M]CE|[L/M]CG|[L/M]CH|[M]CI|[L/M]CF|[L/M]CJ|[L]CO|[M]CL|[L/M]CK|[L]CF|[L]FI|[M]CO|[L/M]CR|[L/M]CQ|[L/M]CP|[L]CT|[L]CZ|[L]DC|[M]CS|[L]DB|[M]CU|[L]DA|[M]CY|[L]DX|[M]CV|[L]DZ|[M]CT|[L/M]DH|[L/M]DJ|[L/M]DN|[L/M]DO|[L/M]DL|[L]EW|[L/M]DK|[L/M]DI|[L/M]EC|[L/M]FE|[L/M]ES|[L/M]EE|[L]EU|[M]FI|[L/M]EN|[M]EY|[L/M]FF|[L/M]EQ|[L/M]FJ|[L]DT|[M]FB|[L/M]EO|[L/M]FM|[L/M]EF|[L/M]FL|[L]EV|[L]CE|[L]DQ|[M]EZ|[L/M]ET|[L/M]FC|[L/M]FD|[L/M]ES|[L]CM|[M]EU|[L]EY|[M]EW|[L]DK|[M]EX|[L]FB|[M]EV|[L]EZ|[M]ET|[L]DK|[M]t149t133|[L]ED|[M]FK|[L]CG|[M]ED|[L/M]CC|[L/M]CD|[L/M]CE|[M]CG|[L/M]CI|[L/M]CH|[M]CF|[L/M]CJ|[M]CM|[L/M]CK|[L/M]CO|[M]CQ|[L/M]CR|[L/M]CP|[L/M]CS|[L]A|[M]DD|[L]CY|[M]DF|[L]CT|[M]DE|[L]CS|[M]CT|[L/M]DH|[L/M]DJ|[M]DL|[L/M]DN|[M]DK|[L/M]DO|[L/M]DI|[L/M]DP|[L/M]DV|[L/M]DR|[L/M]EA|[L/M]EB|[L]DD|[L]EX|[L]CQ|[M]DT|[L]CS|[L/M]DZ|[M]DX|[L/M]DY|[L/M]DS|[L/M]DW|[L/M]DQ|[M]CS|[L/M]DD|[L]DH|[M]DF|[L/M]DE|[L/M]CT|[L]DJ|[M]DH|[L]DY|[M]DJ|[L/M]DL|[L]DO|[M]DN|[L/M]DK|[M]DO|[L/M]DI|[L/M]DP|[L/M]DR|[L/M]DV|[L/M]EA|[L]DE|[M]DY|[L]D|[M]DZ|[L/M]DX|[L/M]DU|[L]CV|[L]DN|[M]EB|[L/M]DS|[L/M]DW|[M]DQ|[L/M]CS|[M]CZ|[M]DB|[L]DF|[M]DC|[L]EB|[M]DA|[L/M]CT|[L]DF|[M]DH|[L/M]DJ|[L/M]DN|[L/M]DM|[M]DK|[L/M]DO|[L]ET|[L/M]DI|[M]t112t3|[L]CL|[M]D|[L/M]B|
297|;1;0,733333333333333;0,407407407407407;0,7;0,368421052631579;0,344433784484863;42;39;30;30;30;[L/M]A|[L/M]C|[L/M]E|[L/M]G|[L/M]H|[L/M]I|[L/M]K|[L]J|[L/M]M|[L/M]L|[L]AE|[M]J|[L]AA|[M]F|[L]AB|[M]AA|[L/M]AG|[L]AO|[M]AC|[L/M]AI|[L]F|[L/M]AF|[M]AE|[L/M]AJ|[L]AN|[M]AD|[L]AC|[L/M]AH|[M]AB|[L/M]AK|[L/M]AM|[M]AO|[L/M]AQ|[L/M]AR|[L]AD|[M]AN|[L/M]AL|[L/M]D|[L/M]B|
296|;1;0,777777777777778;0,466666666666667;0,777777777777778;0,466666666666667;0,267108917236328;25;22;18;18;18;[L/M]A|[L/M]C|[L/M]AS|[L/M]BP|[L]D|[M]BQ|[L/M]BR|[L/M]BT|[L]BX|[M]BS|[L/M]BV|[L/M]BW|[L]BS|[M]BX|[L/M]CB|[L/M]CA|[L/M]BZ|[L/M]BY|[L]BQ|[L/M]AT|[M]D|[L/M]B|
299|;1;0,787878787878788;0,52;0,787878787878788;0,52;0,344516038894653;43;38;31;33;33;[L/M]A|[L]DI|[L/M]C|[M]t2t80|[L/M]CC|[L/M]CD|[L/M]CE|[L/M]CI|[L]DB|[M]CH|[L/M]CG|[L/M]CF|[L/M]CJ|[L/M]CL|[L/M]CK|[L/M]CO|[L/M]CQ|[L/M]CR|[L/M]CP|[L/M]CS|[L/M]CZ|[L/M]DC|[L]CH|[M]DB|[L/M]DA|[L]DM|[L/M]CT|[L/M]DH|[L/M]DJ|[M]DM|[M]DN|[L/M]DO|[L/M]DK|[M]DI|[L]DN|[M]t112t3|[L/M]D|[L/M]B|
298|;1;0,777777777777778;0,466666666666667;0,777777777777778;0,466666666666667;0,249680995941162;22;22;18;18;18;[L]CB|[M]A|[L/M]C|[L/M]AS|[L/M]BP|[L/M]BQ|[L/M]BR|[L/M]BT|[L/M]BS|[L/M]BV|[L/M]BW|[L]BY|[M]BX|[L/M]BZ|[L/M]CA|[L]A|[M]CB|[L]BX|[M]BY|[L/M]AT|[L/M]D|[L/M]B|
172|;1;0,65625;0,344262295081967;0,65625;0,344262295081967;0,364599943161011;44;41;30;32;32;[L]C|[L]CN|[L/M]A|[M]C|[L]CP|[M]t2t80|[L/M]CC|[L/M]CD|[L/M]CE|[L/M]CG|[L/M]CH|[M]CI|[L/M]CF|[L]D|[L/M]CJ|[M]CN|[L/M]CK|[L/M]CO|[M]CQ|[L/M]CR|[L]DM|[M]CP|[L/M]CS|[L]DJ|[L]DK|[L/M]CU|[L/M]CX|[L/M]CV|[L/M]CT|[L/M]DH|[M]DJ|[M]DM|[L/M]DN|[M]DK|[L/M]DO|[L]CQ|[L/M]DI|[M]t112t3|[L]CI|[M]D|[L/M]B|
70|;1;0,866666666666667;0,619047619047619;0,866666666666667;0,619047619047619;0,310943126678467;44;34;30;30;30;[L/M]A|[L]L|[L]AD|[L/M]C|[L/M]E|[L/M]G|[L]AK|[M]H|[L/M]I|[L/M]M|[M]L|[L/M]K|[L/M]J|[L/M]F|[L/M]AA|[L/M]AC|[L/M]AG|[L/M]AI|[L/M]AJ|[L/M]AF|[L/M]AE|[L/M]AH|[M]AD|[L/M]AB|[L]H|[M]AK|[L/M]AQ|[L/M]AM|[L/M]AR|[L/M]AP|[L/M]AN|[L/M]AL|[L/M]D|[L/M]B|
